,PlayerName
611,Harmeet Singh (2)
612,Shivam Mavi
613,S Randiv
614,AK Markram
615,A Nortje
616,JD Ryder
617,AB Barath
618,AA Jhunjhunwala
619,OF Smith
620,J Syed Mohammad
621,P Chopra
622,O Thomas
623,AG Murtaza
624,Monu Kumar
625,Rasikh Salam
626,JPR Scantlebury-Searles
627,A Dananjaya
628,YA Abdulla
629,PP Chawla
630,FA Allen
631,K Rabada
632,AC Blizzard
633,SS Cottrell
634,J Little
635,AM Salvi
636,AF Milne
637,P Simran Singh
638,ST Jayasuriya
639,Yash Thakur
640,L Ablish
641,BAW Mendis
642,Hardik Pandya
643,SN Thakur
644,RD Chahar
645,RV Patel
646,SW Tait
647,BJ Haddin
648,SS Tiwary
649,DW Steyn
650,MN van Wyk
651,Mohammed Siraj
652,UBT Chand
653,M Jansen
654,UA Birla
655,RS Gavaskar
656,VR Aaron
657,A Singh
658,CK Kapugedera
659,X Thalaivan Sargunam
660,FH Edwards
661,RJ Peterson
662,PN Mankad
663,RS Sodhi
664,DJ Thornely
665,SE Bond
666,MJ Lumb
667,D Wiese
668,DG Nalkande
669,VVS Laxman
670,LI Meriwala
671,DB Ravi Teja
672,Misbah-ul-Haq
673,KR Sen
674,DJ Willey
675,AP Majumdar
676,J Yadav
677,DJ Mitchell
678,G Gambhir
679,R Sai Kishore
680,MJ Guptill
681,VG Arora
682,MJ Henry
683,R Powell
684,YS Chahal
685,RR Powar
686,WD Parnell
687,CV Varun
688,PD Salt
689,SK Trivedi
690,MDKJ Perera
691,SP Goswami
692,JR Philippe
693,R Shepherd
